instance,alg,pop,diversity,run,best,n_evals,time
2103,single,20,tournament,12,-5.0,10000,0.39667463302612305
2103,single,20,tournament,13,-7.0,10000,0.3645913600921631
2103,single,20,tournament,14,-16.0,10000,0.2787206172943115
2103,single,20,tournament,15,-11.0,10000,0.3386359214782715
2103,single,20,tournament,16,-12.0,10000,0.3298773765563965
2103,single,20,tournament,17,-47.0,10000,0.16370010375976562
2103,single,20,tournament,18,-8.0,10000,0.3538236618041992
2103,single,20,tournament,19,624.0,10000,0.4538593292236328
2103,single,20,tournament,20,-8.0,10000,0.36040735244750977
2103,single,20,tournament,21,-7.0,10000,0.40803098678588867
2103,single,20,tournament,22,-37.0,10000,0.18606281280517578
2103,single,20,tournament,23,-10.0,10000,0.35318589210510254
2103,single,20,tournament,24,-12.0,10000,0.3417086601257324
2103,single,20,tournament,25,-4.0,10000,0.43547630310058594
2103,single,20,tournament,26,-16.0,10000,0.28980183601379395
2103,single,20,tournament,27,-42.0,10000,0.16473031044006348
2103,single,20,tournament,28,-42.0,10000,0.16867637634277344
2103,single,20,tournament,29,-3.0,10000,0.3846099376678467
2103,single,50,random_replacement,0,-49.0,10100,0.14328384399414062
2103,single,50,random_replacement,1,-49.0,11600,0.1626288890838623
2103,single,50,random_replacement,2,-49.0,14243,0.1954958438873291
2103,single,50,random_replacement,3,-42.0,13227,0.1805274486541748
2103,single,50,random_replacement,4,-45.0,10909,0.1492173671722412
2103,single,50,random_replacement,5,-50.0,12600,0.17150378227233887
2103,single,50,random_replacement,6,-49.0,10262,0.14047574996948242
2103,single,50,random_replacement,7,-49.0,17762,0.24375534057617188
2103,single,50,random_replacement,8,-42.0,12288,0.16768217086791992
2103,single,50,random_replacement,9,-44.0,17001,0.2315218448638916
2103,single,50,random_replacement,10,-49.0,24869,0.3427863121032715
2103,single,50,random_replacement,11,-47.0,13401,0.18838977813720703
2103,single,50,random_replacement,12,-50.0,22489,0.3084266185760498
2103,single,50,random_replacement,13,-49.0,15075,0.2078406810760498
2103,single,50,random_replacement,14,-49.0,13697,0.1895277500152588
2103,single,50,random_replacement,15,-48.0,16765,0.2292640209197998
2103,single,50,random_replacement,16,-50.0,16615,0.2270183563232422
2103,single,50,random_replacement,17,-49.0,19116,0.2611556053161621
2103,single,50,random_replacement,18,-48.0,16449,0.22435212135314941
2103,single,50,random_replacement,19,-47.0,14666,0.20072603225708008
2103,single,50,random_replacement,20,-48.0,10230,0.14205098152160645
2103,single,50,random_replacement,21,-48.0,15932,0.22062063217163086
2103,single,50,random_replacement,22,-43.0,15895,0.2174234390258789
2103,single,50,random_replacement,23,-52.0,12067,0.16476845741271973
2103,single,50,random_replacement,24,-44.0,17868,0.2442164421081543
2103,single,50,random_replacement,25,-52.0,14629,0.19980311393737793
2103,single,50,random_replacement,26,-50.0,15083,0.20616674423217773
2103,single,50,random_replacement,27,-52.0,10063,0.1376032829284668
2103,single,50,random_replacement,28,-37.0,10000,0.24087738990783691
2103,single,50,random_replacement,29,-50.0,13738,0.18730807304382324
2103,single,50,fitness_sharing,0,-47.0,11737,0.16173839569091797
2103,single,50,fitness_sharing,1,-47.0,16726,0.2321031093597412
2103,single,50,fitness_sharing,2,-50.0,15655,0.21415996551513672
2103,single,50,fitness_sharing,3,-48.0,14999,0.20699691772460938
2103,single,50,fitness_sharing,4,-51.0,12576,0.1709883213043213
2103,single,50,fitness_sharing,5,-47.0,15755,0.21564531326293945
2103,single,50,fitness_sharing,6,-52.0,17180,0.2328934669494629
2103,single,50,fitness_sharing,7,-43.0,16274,0.22109627723693848
2103,single,50,fitness_sharing,8,-53.0,14887,0.2035055160522461
2103,single,50,fitness_sharing,9,-43.0,15775,0.21347475051879883
