instance,alg,pop,diversity,run,best,n_evals,time
2102,single,10,fitness_sharing,25,46.0,10003,0.0587766170501709
2102,single,10,fitness_sharing,26,46.0,10006,0.05938243865966797
2102,single,10,fitness_sharing,27,46.0,10006,0.05762290954589844
2102,single,10,fitness_sharing,28,46.0,10014,0.056937217712402344
2102,single,10,fitness_sharing,29,46.0,10005,0.057698965072631836
2102,single,10,tournament,0,46.0,10006,0.03208661079406738
2102,single,10,tournament,1,46.0,10001,0.03153538703918457
2102,single,10,tournament,2,46.0,10004,0.032061100006103516
2102,single,10,tournament,3,45.0,10005,0.03257036209106445
2102,single,10,tournament,4,46.0,10010,0.0328981876373291
2102,single,10,tournament,5,46.0,10020,0.03394293785095215
2102,single,10,tournament,6,46.0,10009,0.031557559967041016
2102,single,10,tournament,7,46.0,10001,0.032389163970947266
2102,single,10,tournament,8,46.0,10001,0.031807899475097656
2102,single,10,tournament,9,46.0,10003,0.03171563148498535
2102,single,10,tournament,10,45.0,10000,0.03238511085510254
2102,single,10,tournament,11,46.0,10002,0.03202390670776367
2102,single,10,tournament,12,46.0,10002,0.03212261199951172
2102,single,10,tournament,13,46.0,10006,0.03173470497131348
2102,single,10,tournament,14,46.0,10008,0.03228187561035156
2102,single,10,tournament,15,46.0,10005,0.032152414321899414
2102,single,10,tournament,16,46.0,10000,0.03215336799621582
2102,single,10,tournament,17,46.0,10000,0.03170299530029297
2102,single,10,tournament,18,46.0,10000,0.03193974494934082
2102,single,10,tournament,19,46.0,10003,0.03177690505981445
2102,single,10,tournament,20,46.0,10001,0.03229475021362305
2102,single,10,tournament,21,46.0,10006,0.03233838081359863
2102,single,10,tournament,22,46.0,10003,0.03218436241149902
2102,single,10,tournament,23,46.0,10003,0.03219342231750488
2102,single,10,tournament,24,46.0,10004,0.032102108001708984
2102,single,10,tournament,25,46.0,10009,0.03205251693725586
2102,single,10,tournament,26,46.0,10001,0.03347134590148926
2102,single,10,tournament,27,46.0,10004,0.03191542625427246
2102,single,10,tournament,28,46.0,10004,0.03177475929260254
2102,single,10,tournament,29,46.0,10001,0.03191566467285156
2102,single,20,random_replacement,0,46.0,10005,0.030497312545776367
2102,single,20,random_replacement,1,46.0,10001,0.031202316284179688
2102,single,20,random_replacement,2,46.0,10000,0.030451297760009766
2102,single,20,random_replacement,3,46.0,10015,0.0312654972076416
2102,single,20,random_replacement,4,46.0,10009,0.03095269203186035
2102,single,20,random_replacement,5,46.0,10013,0.030949831008911133
2102,single,20,random_replacement,6,46.0,10007,0.038401126861572266
2102,single,20,random_replacement,7,46.0,10005,0.030799388885498047
2102,single,20,random_replacement,8,46.0,10022,0.03071141242980957
2102,single,20,random_replacement,9,46.0,10011,0.030485153198242188
2102,single,20,random_replacement,10,46.0,10005,0.03133845329284668
2102,single,20,random_replacement,11,46.0,10003,0.030431747436523438
2102,single,20,random_replacement,12,46.0,10004,0.03155946731567383
2102,single,20,random_replacement,13,46.0,10008,0.031404972076416016
2102,single,20,random_replacement,14,46.0,10008,0.030892372131347656
2102,single,20,random_replacement,15,46.0,10013,0.03073430061340332
2102,single,20,random_replacement,16,46.0,10007,0.030991554260253906
2102,single,20,random_replacement,17,46.0,10006,0.031194448471069336
2102,single,20,random_replacement,18,46.0,10002,0.03065037727355957
2102,single,20,random_replacement,19,46.0,10000,0.030866622924804688
2102,single,20,random_replacement,20,46.0,10004,0.03218793869018555
2102,single,20,random_replacement,21,46.0,10014,0.03060770034790039
2102,single,20,random_replacement,22,46.0,10007,0.030658245086669922
2102,single,20,random_replacement,23,46.0,10000,0.03111553192138672
2102,single,20,random_replacement,24,46.0,10003,0.031709909439086914
2102,single,20,random_replacement,25,46.0,10019,0.03195595741271973
2102,single,20,random_replacement,26,46.0,10011,0.031187772750854492
2102,single,20,random_replacement,27,46.0,10010,0.030451297760009766
2102,single,20,random_replacement,28,46.0,10009,0.03052997589111328
2102,single,20,random_replacement,29,46.0,10001,0.030609607696533203
2102,single,20,fitness_sharing,0,46.0,10012,0.07646656036376953
2102,single,20,fitness_sharing,1,46.0,10005,0.07485032081604004
2102,single,20,fitness_sharing,2,46.0,10017,0.07475471496582031
2102,single,20,fitness_sharing,3,46.0,10002,0.07192325592041016
2102,single,20,fitness_sharing,4,46.0,10018,0.07433962821960449
2102,single,20,fitness_sharing,5,46.0,10000,0.0768728256225586
2102,single,20,fitness_sharing,6,46.0,10005,0.07123446464538574
2102,single,20,fitness_sharing,7,46.0,10002,0.07296395301818848
2102,single,20,fitness_sharing,8,46.0,10009,0.07285594940185547
2102,single,20,fitness_sharing,9,46.0,10004,0.07487678527832031
2102,single,20,fitness_sharing,10,46.0,10003,0.07422256469726562
2102,single,20,fitness_sharing,11,46.0,10001,0.07315874099731445
2102,single,20,fitness_sharing,12,46.0,10011,0.07665514945983887
2102,single,20,fitness_sharing,13,46.0,10001,0.07645153999328613
2102,single,20,fitness_sharing,14,46.0,10003,0.07343387603759766
2102,single,20,fitness_sharing,15,46.0,10007,0.07346582412719727
2102,single,20,fitness_sharing,16,46.0,10003,0.0726613998413086
2102,single,20,fitness_sharing,17,46.0,10017,0.07504105567932129
2102,single,20,fitness_sharing,18,46.0,10028,0.0742344856262207
2102,single,20,fitness_sharing,19,46.0,10000,0.07467389106750488
2102,single,20,fitness_sharing,20,46.0,10010,0.07503914833068848
2102,single,20,fitness_sharing,21,46.0,10001,0.07633781433105469
2102,single,20,fitness_sharing,22,46.0,10006,0.0752418041229248
2102,single,20,fitness_sharing,23,46.0,10006,0.0748586654663086
2102,single,20,fitness_sharing,24,46.0,10002,0.07420587539672852
2102,single,20,fitness_sharing,25,46.0,10010,0.07644104957580566
2102,single,20,fitness_sharing,26,46.0,10000,0.07720375061035156
2102,single,20,fitness_sharing,27,46.0,10004,0.07578706741333008
2102,single,20,fitness_sharing,28,46.0,10002,0.07308006286621094
2102,single,20,fitness_sharing,29,46.0,10005,0.07412505149841309
2102,single,20,tournament,0,46.0,10014,0.032767295837402344
2102,single,20,tournament,1,46.0,10005,0.03215432167053223
2102,single,20,tournament,2,46.0,10004,0.031743526458740234
2102,single,20,tournament,3,46.0,10002,0.03207135200500488
2102,single,20,tournament,4,46.0,10012,0.03183889389038086
2102,single,20,tournament,5,46.0,10022,0.032671451568603516
2102,single,20,tournament,6,46.0,10000,0.03181886672973633
2102,single,20,tournament,7,46.0,10006,0.031505584716796875
2102,single,20,tournament,8,46.0,10005,0.031674861907958984
2102,single,20,tournament,9,46.0,10006,0.033370256423950195
2102,single,20,tournament,10,46.0,10005,0.03228592872619629
2102,single,20,tournament,11,46.0,10002,0.03261303901672363
2102,single,20,tournament,12,46.0,10003,0.03140115737915039
2102,single,20,tournament,13,46.0,10029,0.03178119659423828
2102,single,20,tournament,14,46.0,10005,0.03257489204406738
2102,single,20,tournament,15,46.0,10005,0.031585693359375
2102,single,20,tournament,16,46.0,10009,0.03202247619628906
2102,single,20,tournament,17,46.0,10001,0.03148031234741211
2102,single,20,tournament,18,46.0,10015,0.03169393539428711
2102,single,20,tournament,19,46.0,10009,0.03232073783874512
2102,single,20,tournament,20,46.0,10006,0.03212165832519531
2102,single,20,tournament,21,46.0,10000,0.03229689598083496
2102,single,20,tournament,22,46.0,10019,0.030974388122558594
2102,single,20,tournament,23,46.0,10000,0.031664371490478516
2102,single,20,tournament,24,46.0,10014,0.03239750862121582
2102,single,20,tournament,25,46.0,10006,0.03216814994812012
