instance,alg,pop,selection,run,best,n_evals,time
2102,multi,50,uniform,9,33.0,10000,0.14503979682922363
2102,multi,50,uniform,10,0.0,10000,0.1507091522216797
2102,multi,50,uniform,11,0.0,10000,0.15749025344848633
2102,multi,50,uniform,12,9.0,10000,0.1586308479309082
2102,multi,50,uniform,13,18.0,10000,0.1612865924835205
2102,multi,50,uniform,14,22.0,10000,0.16759872436523438
2102,multi,50,uniform,15,0.0,10000,0.15914273262023926
2102,multi,50,uniform,16,11.0,10000,0.16491365432739258
2102,multi,50,uniform,17,0.0,10000,0.1671748161315918
2102,multi,50,uniform,18,18.0,10000,0.15456342697143555
2102,multi,50,uniform,19,35.0,10000,0.1673567295074463
2102,multi,50,uniform,20,34.0,10000,0.23256325721740723
2102,multi,50,uniform,21,0.0,10000,0.18953728675842285
2102,multi,50,uniform,22,11.0,10000,0.16365265846252441
2102,multi,50,uniform,23,23.0,10000,0.1529529094696045
2102,multi,50,uniform,24,22.0,10000,0.15836262702941895
2102,multi,50,uniform,25,18.0,10000,0.14789795875549316
2102,multi,50,uniform,26,5.0,10000,0.16894197463989258
2102,multi,50,uniform,27,29.0,10000,0.1540699005126953
2102,multi,50,uniform,28,20.0,10000,0.14659571647644043
2102,multi,50,uniform,29,0.0,10000,0.17726707458496094
2102,multi,50,uniform,0,40.0,10000,0.16941118240356445
2102,multi,50,uniform,1,28.0,10000,0.15977907180786133
2102,multi,50,uniform,2,0.0,10000,0.17036199569702148
2102,multi,50,uniform,3,26.0,10000,0.14046645164489746
2102,multi,50,uniform,4,28.0,10000,0.22791194915771484
2102,multi,50,uniform,5,16.0,10000,0.15264630317687988
2102,multi,50,uniform,6,20.0,10000,0.16856002807617188
2102,multi,50,uniform,7,8.0,10000,0.17748522758483887
2102,multi,50,uniform,8,20.0,10000,0.16264653205871582
2102,multi,50,uniform,9,0.0,10000,0.18611836433410645
2102,multi,50,uniform,10,16.0,10000,0.17427682876586914
2102,multi,50,uniform,11,29.0,10000,0.15068936347961426
2102,multi,50,uniform,12,0.0,10000,0.18420171737670898
2102,multi,50,uniform,13,3.0,10000,0.1408226490020752
2102,multi,50,uniform,14,0.0,10000,0.1622753143310547
2102,multi,50,uniform,15,28.0,10000,0.17840075492858887
2102,multi,50,uniform,16,0.0,10000,0.17266416549682617
2102,multi,50,uniform,17,25.0,10000,0.16526031494140625
2102,multi,50,uniform,18,16.0,10000,0.1721510887145996
2102,multi,50,uniform,19,29.0,10000,0.17115235328674316
2102,multi,50,uniform,20,34.0,10000,0.15813064575195312
2102,multi,50,uniform,21,26.0,10000,0.1551656723022461
2102,multi,50,uniform,22,16.0,10000,0.19433021545410156
2102,multi,50,uniform,23,26.0,10000,0.19081854820251465
2102,multi,50,uniform,24,26.0,10000,0.16873908042907715
2102,multi,50,uniform,25,39.0,10000,0.1704564094543457
2102,multi,50,uniform,26,6.0,10000,0.17518401145935059
2102,multi,50,uniform,27,27.0,10000,0.16274309158325195
2102,multi,50,uniform,28,9.0,10000,0.1536242961883545
2102,multi,50,uniform,29,27.0,10000,0.14764714241027832
2102,multi,50,uniform,0,18.0,10000,0.17337417602539062
2102,multi,50,uniform,1,29.0,10000,0.16594934463500977
2102,multi,50,uniform,2,22.0,10000,0.15951061248779297
2102,multi,50,uniform,3,9.0,10000,0.16894197463989258
2102,multi,50,uniform,4,0.0,10000,0.1571028232574463
2102,multi,50,uniform,5,30.0,10000,0.1985950469970703
2102,multi,50,uniform,6,19.0,10000,0.16741275787353516
2102,multi,50,uniform,7,26.0,10000,0.15162134170532227
2102,multi,50,uniform,8,26.0,10000,0.1642763614654541
2102,multi,50,uniform,9,18.0,10000,0.18210387229919434
2102,multi,50,uniform,10,17.0,10000,0.1999666690826416
2102,multi,50,uniform,11,12.0,10000,0.16136765480041504
2102,multi,50,uniform,12,27.0,10000,0.1508955955505371
2102,multi,50,uniform,13,26.0,10000,0.15335583686828613
2102,multi,50,uniform,14,0.0,10000,0.14549493789672852
2102,multi,50,uniform,15,26.0,10000,0.14981961250305176
2102,multi,50,uniform,16,33.0,10000,0.16898798942565918
2102,multi,50,uniform,17,24.0,10000,0.15472984313964844
2102,multi,50,uniform,18,6.0,10000,0.17567205429077148
2102,multi,50,uniform,19,21.0,10000,0.16481733322143555
2102,multi,50,uniform,20,32.0,10000,0.1828770637512207
2102,multi,50,uniform,21,16.0,10000,0.14111948013305664
2102,multi,50,uniform,22,10.0,10000,0.15839028358459473
2102,multi,50,uniform,23,23.0,10000,0.18728280067443848
2102,multi,50,uniform,24,16.0,10000,0.15997743606567383
2102,multi,50,uniform,25,29.0,10000,0.14637994766235352
2102,multi,50,uniform,26,0.0,10000,0.15423250198364258
2102,multi,50,uniform,27,12.0,10000,0.1477646827697754
2102,multi,50,uniform,28,19.0,10000,0.16909456253051758
2102,multi,50,uniform,29,27.0,10000,0.18364787101745605
