instance,alg,pop,selection,run,best,n_evals,time
2100,multi,10,uniform,1,,10000,0.4751567840576172
2100,multi,10,uniform,2,,10000,0.4966402053833008
2100,multi,10,uniform,3,,10000,0.49340295791625977
2100,multi,10,uniform,4,,10000,0.4685053825378418
2100,multi,10,uniform,5,,10000,0.46530699729919434
2100,multi,10,uniform,6,-35.0,10000,0.46267151832580566
2100,multi,10,uniform,7,,10000,0.4715156555175781
2100,multi,10,uniform,8,,10000,0.47200918197631836
2100,multi,10,uniform,9,-34.0,10000,0.4703221321105957
2100,multi,10,uniform,10,-32.0,10000,0.47273945808410645
2100,multi,10,uniform,11,,10000,0.49070048332214355
2100,multi,10,uniform,12,,10000,0.47321534156799316
2100,multi,10,uniform,13,,10000,0.4777364730834961
2100,multi,10,uniform,14,,10000,0.47562193870544434
2100,multi,10,uniform,15,-29.0,10000,0.514737606048584
2100,multi,10,uniform,16,,10000,0.48149943351745605
2100,multi,10,uniform,17,-20.0,10000,0.4734377861022949
2100,multi,10,uniform,18,-35.0,10000,0.47845983505249023
2100,multi,10,uniform,19,,10000,0.47063136100769043
2100,multi,10,uniform,20,,10000,0.47896456718444824
2100,multi,10,uniform,21,-29.0,10000,0.4833042621612549
2100,multi,10,uniform,22,-32.0,10000,0.4825901985168457
2100,multi,10,uniform,23,,10000,0.4634411334991455
2100,multi,10,uniform,24,,10000,0.4586052894592285
2100,multi,10,uniform,25,,10000,0.46694350242614746
2100,multi,10,uniform,26,,10000,0.4672574996948242
2100,multi,10,uniform,27,,10000,0.46564459800720215
2100,multi,10,uniform,28,,10000,0.45954132080078125
2100,multi,10,uniform,29,,10000,0.46066927909851074
2100,multi,20,uniform,0,,10000,0.4655039310455322
2100,multi,20,uniform,1,,10000,0.4786515235900879
2100,multi,20,uniform,2,,10000,0.46654367446899414
2100,multi,20,uniform,3,-33.0,10000,0.46002817153930664
2100,multi,20,uniform,4,,10000,0.4572718143463135
2100,multi,20,uniform,5,,10000,0.46153998374938965
2100,multi,20,uniform,6,,10000,0.4591805934906006
2100,multi,20,uniform,7,,10000,0.45563197135925293
2100,multi,20,uniform,8,,10000,0.47110843658447266
2100,multi,20,uniform,9,,10000,0.4632880687713623
2100,multi,20,uniform,10,,10000,0.4617469310760498
2100,multi,20,uniform,11,,10000,0.46795654296875
2100,multi,20,uniform,12,,10000,0.46309876441955566
2100,multi,20,uniform,13,,10000,0.46909117698669434
2100,multi,20,uniform,14,-33.0,10000,0.46309328079223633
2100,multi,20,uniform,15,,10000,0.45891666412353516
2100,multi,20,uniform,16,,10000,0.4615190029144287
2100,multi,20,uniform,17,,10000,0.45465922355651855
2100,multi,20,uniform,18,,10000,0.4676387310028076
2100,multi,20,uniform,19,,10000,0.459578275680542
2100,multi,20,uniform,20,,10000,0.4599270820617676
