instance,alg,pop,diversity,run,best,n_evals,time
2202,single,20,random_replacement,0,-301.0,32606,2.2456986904144287
2202,single,20,random_replacement,1,-318.0,70950,4.856481313705444
2202,single,20,random_replacement,2,-322.0,72469,4.960739612579346
2202,single,20,random_replacement,3,-324.0,74218,5.07160496711731
2202,single,20,random_replacement,4,-325.0,64299,4.379839181900024
2202,single,20,random_replacement,5,-319.0,63353,4.306376218795776
2202,single,20,random_replacement,6,-314.0,80552,5.476114273071289
2202,single,20,random_replacement,7,-306.0,87865,5.985627889633179
2202,single,20,random_replacement,8,-320.0,60044,4.103288412094116
2202,single,20,random_replacement,9,-322.0,59036,4.05974006652832
2202,single,20,random_replacement,10,-317.0,62931,4.325283050537109
2202,single,20,random_replacement,11,-318.0,97972,6.69930362701416
2202,single,20,random_replacement,12,-320.0,53250,3.6423468589782715
2202,single,20,random_replacement,13,-322.0,98553,6.74468469619751
2202,single,20,random_replacement,14,-335.0,86728,5.923313856124878
2202,single,20,random_replacement,15,-308.0,79367,5.430299997329712
2202,single,20,random_replacement,16,-320.0,52577,3.5839288234710693
2202,single,20,random_replacement,17,-327.0,43868,3.0002806186676025
2202,single,20,random_replacement,18,-315.0,49360,3.3648483753204346
2202,single,20,random_replacement,19,-330.0,83318,5.7042131423950195
2202,single,20,random_replacement,20,-313.0,49738,3.4071481227874756
2202,single,20,random_replacement,21,-323.0,89681,6.110886573791504
2202,single,20,random_replacement,22,-316.0,63589,4.336328506469727
2202,single,20,random_replacement,23,-316.0,89420,6.106807708740234
2202,single,20,random_replacement,24,-304.0,75038,5.117520570755005
2202,single,20,random_replacement,25,-323.0,35668,2.4350602626800537
2202,single,20,random_replacement,26,-317.0,56468,3.842740297317505
2202,single,20,random_replacement,27,-312.0,81470,5.56640625
2202,single,20,random_replacement,28,-307.0,120823,8.235821962356567
2202,single,20,random_replacement,29,-310.0,75803,5.176290988922119
2202,single,20,fitness_sharing,0,-338.0,38496,2.6440043449401855
2202,single,20,fitness_sharing,1,-326.0,121125,8.334712266921997
2202,single,20,fitness_sharing,2,-313.0,36460,2.589221239089966
2202,single,20,fitness_sharing,3,-316.0,102870,7.027159214019775
2202,single,20,fitness_sharing,4,-306.0,82625,5.640466213226318
2202,single,20,fitness_sharing,5,-325.0,96667,6.586490869522095
2202,single,20,fitness_sharing,6,-333.0,87835,5.986576795578003
2202,single,20,fitness_sharing,7,-315.0,69857,4.771751880645752
2202,single,20,fitness_sharing,8,-311.0,71023,4.8599748611450195
2202,single,20,fitness_sharing,9,-329.0,57673,3.936790943145752
2202,single,20,fitness_sharing,10,-304.0,64109,4.391663312911987
2202,single,20,fitness_sharing,11,-329.0,61041,4.177879810333252
2202,single,20,fitness_sharing,12,-321.0,76539,5.244841814041138
2202,single,20,fitness_sharing,13,-308.0,75346,5.148767471313477
2202,single,20,fitness_sharing,14,-314.0,86904,5.932619333267212
2202,single,20,fitness_sharing,15,-328.0,89764,6.133652210235596
2202,single,20,fitness_sharing,16,-323.0,89936,6.144932746887207
2202,single,20,fitness_sharing,17,-331.0,134483,9.18110704421997
2202,single,20,fitness_sharing,18,-309.0,94291,6.437720537185669
2202,single,20,fitness_sharing,19,-324.0,83913,5.7291553020477295
2202,single,20,fitness_sharing,20,-325.0,79874,5.463789224624634
2202,single,20,fitness_sharing,21,-312.0,42934,2.9381160736083984
2202,single,20,fitness_sharing,22,-317.0,54341,3.704968214035034
2202,single,20,fitness_sharing,23,-311.0,104231,7.103214979171753
2202,single,20,fitness_sharing,24,-339.0,66572,4.548126220703125
2202,single,20,fitness_sharing,25,-310.0,46457,3.1809325218200684
2202,single,20,fitness_sharing,26,-321.0,56281,3.8434088230133057
2202,single,20,fitness_sharing,27,-324.0,78806,5.378233909606934
2202,single,20,fitness_sharing,28,-314.0,94428,6.455192565917969
2202,single,20,fitness_sharing,29,-315.0,104173,7.080057144165039
2202,single,20,tournament,0,-333.0,64564,4.4285619258880615
2202,single,20,tournament,1,-318.0,88808,6.05972146987915
2202,single,20,tournament,2,-314.0,72884,4.987106084823608
2202,single,20,tournament,3,-309.0,56564,3.861316442489624
2202,single,20,tournament,4,-323.0,86816,5.920053243637085
2202,single,20,tournament,5,-319.0,105613,7.2587645053863525
2202,single,20,tournament,6,-280.0,46000,3.1545372009277344
2202,single,20,tournament,7,-328.0,66934,4.577103614807129
2202,single,20,tournament,8,-306.0,53706,3.6564483642578125
2202,single,20,tournament,9,-339.0,84161,5.797283887863159
2202,single,20,tournament,10,-317.0,102949,7.077181816101074
2202,single,20,tournament,11,-326.0,130922,8.945152282714844
2202,single,20,tournament,12,-306.0,92855,6.38538670539856
2202,single,20,tournament,13,-329.0,73761,5.058073043823242
2202,single,20,tournament,14,-325.0,87403,5.985532999038696
2202,single,20,tournament,15,-328.0,64327,4.386054515838623
2202,single,20,tournament,16,-307.0,59941,4.099239826202393
2202,single,20,tournament,17,-317.0,58148,3.983903408050537
2202,single,20,tournament,18,-334.0,59486,4.06279730796814
2202,single,20,tournament,19,-326.0,62322,4.272903203964233
2202,single,20,tournament,20,-319.0,41012,2.822739839553833
2202,single,20,tournament,21,-302.0,47585,3.2606942653656006
2202,single,20,tournament,22,-311.0,81544,5.567861795425415
2202,single,20,tournament,23,-327.0,80549,5.490269184112549
2202,single,20,tournament,24,-320.0,99020,6.781294107437134
2202,single,20,tournament,25,-315.0,39806,2.7319066524505615
2202,single,20,tournament,26,-317.0,67204,4.597740411758423
2202,single,20,tournament,27,-333.0,95975,6.5706000328063965
2202,single,20,tournament,28,-330.0,37982,2.6179351806640625
2202,single,20,tournament,29,-306.0,83115,5.684999704360962
2202,single,50,random_replacement,0,-303.0,172385,11.852238416671753
2202,single,50,random_replacement,1,-311.0,182323,12.477911949157715
2202,single,50,random_replacement,2,-306.0,154740,10.584720134735107
2202,single,50,random_replacement,3,-314.0,178793,12.22112250328064
2202,single,50,random_replacement,4,-305.0,160441,10.9632568359375
2202,single,50,random_replacement,5,-295.0,235591,16.104156732559204
2202,single,50,random_replacement,6,-307.0,226950,15.528333902359009
2202,single,50,random_replacement,7,-313.0,148245,10.192875862121582
2202,single,50,random_replacement,8,-310.0,232967,15.941032409667969
2202,single,50,random_replacement,9,-293.0,240626,16.46410346031189
2202,single,50,random_replacement,10,-304.0,112039,7.67321252822876
2202,single,50,random_replacement,11,-315.0,114754,7.843382120132446
2202,single,50,random_replacement,12,-317.0,162214,11.108494281768799
2202,single,50,random_replacement,13,-318.0,150501,10.347512006759644
2202,single,50,random_replacement,14,-320.0,177389,12.160142660140991
2202,single,50,random_replacement,15,-323.0,117757,8.070852279663086
2202,single,50,random_replacement,16,-316.0,173005,11.837318181991577
2202,single,50,random_replacement,17,-319.0,128605,8.827043771743774
2202,single,50,random_replacement,18,-319.0,167922,11.547811269760132
2202,single,50,random_replacement,19,-314.0,109981,7.569510459899902
2202,single,50,random_replacement,20,-306.0,185533,12.740786075592041
2202,single,50,random_replacement,21,-314.0,203234,13.90717077255249
2202,single,50,random_replacement,22,-299.0,203136,13.939258098602295
2202,single,50,random_replacement,23,-307.0,220954,15.146117448806763
2202,single,50,random_replacement,24,-299.0,163646,11.215940237045288
2202,single,50,random_replacement,25,-312.0,138687,9.507347583770752
2202,single,50,random_replacement,26,-306.0,125870,8.64384150505066
2202,single,50,random_replacement,27,-327.0,141339,9.672059774398804
2202,single,50,random_replacement,28,-314.0,85953,5.892914533615112
2202,single,50,random_replacement,29,-324.0,199533,13.697529077529907
2202,single,50,fitness_sharing,0,-319.0,177154,12.132174968719482
2202,single,50,fitness_sharing,1,-313.0,207896,14.235191583633423
2202,single,50,fitness_sharing,2,-307.0,118300,8.098552465438843
2202,single,50,fitness_sharing,3,-326.0,160982,11.007216453552246
2202,single,50,fitness_sharing,4,-325.0,164974,11.310394287109375
2202,single,50,fitness_sharing,5,-300.0,174355,11.946742057800293
2202,single,50,fitness_sharing,6,-306.0,247706,16.943256855010986
2202,single,50,fitness_sharing,7,-309.0,194635,13.318642377853394
2202,single,50,fitness_sharing,8,-310.0,123785,8.488407850265503
2202,single,50,fitness_sharing,9,-301.0,157888,10.81641149520874
2202,single,50,fitness_sharing,10,-314.0,250254,17.183666229248047
2202,single,50,fitness_sharing,11,-307.0,202903,13.872874021530151
2202,single,50,fitness_sharing,12,-298.0,154765,10.601639986038208
2202,single,50,fitness_sharing,13,-315.0,171374,11.70807933807373
2202,single,50,fitness_sharing,14,-314.0,176064,12.07374906539917
2202,single,50,fitness_sharing,15,-313.0,140646,9.633166790008545
2202,single,50,fitness_sharing,16,-308.0,169898,11.640337705612183
2202,single,50,fitness_sharing,17,-299.0,149890,10.257159233093262
2202,single,50,fitness_sharing,18,-302.0,159687,10.919476509094238
2202,single,50,fitness_sharing,19,-312.0,187128,12.794238805770874
2202,single,50,fitness_sharing,20,-314.0,156771,10.742750883102417
2202,single,50,fitness_sharing,21,-322.0,183505,12.54978322982788
2202,single,50,fitness_sharing,22,-321.0,113482,7.76534366607666
2202,single,50,fitness_sharing,23,-301.0,198718,13.852910041809082
2202,single,50,fitness_sharing,24,-310.0,118922,8.132449626922607
2202,single,50,fitness_sharing,25,-323.0,197694,13.539609432220459
2202,single,50,fitness_sharing,26,-320.0,113305,7.763195037841797
2202,single,50,fitness_sharing,27,-302.0,216918,14.808358430862427
2202,single,50,fitness_sharing,28,-314.0,153718,10.507802963256836
2202,single,50,fitness_sharing,29,-309.0,154169,10.539644241333008
2202,single,50,tournament,0,-304.0,242411,16.57674527168274
2202,single,50,tournament,1,-317.0,145197,9.924664735794067
2202,single,50,tournament,2,-310.0,160355,10.979117631912231
2202,single,50,tournament,3,-305.0,154041,10.54447317123413
2202,single,50,tournament,4,-321.0,182515,12.510347127914429
2202,single,50,tournament,5,-298.0,248371,16.99663209915161
2202,single,50,tournament,6,-311.0,203447,13.900327444076538
2202,single,50,tournament,7,-306.0,113935,7.801937818527222
2202,single,50,tournament,8,-312.0,164522,11.283807754516602
2202,single,50,tournament,9,-311.0,150019,10.275719404220581
2202,single,50,tournament,10,-323.0,223347,15.312694549560547
2202,single,50,tournament,11,-327.0,216205,14.813179731369019
